yearID,lgID,Total_Runs_Allowed,Total_Outs,DH_Rule,ERA
2017,AL,11337,64892,Yes,4.71705294951612
1975,NL,8014,52351,No,4.133216175431224
1996,AL,12208,60815,Yes,5.419978623694812
2006,NL,12558,69411,No,4.884902969270001
2004,AL,11316,60744,Yes,5.029830106677203
2023,NL,11322,64529,Yes,4.737311906274699
2017,NL,11245,64879,No,4.679711462877048
2022,AL,10215,64676,Yes,4.264410291298163
1979,NL,8186,52280,No,4.227658760520276
2020,AL,4159,23338,Yes,4.8115948238923645
1968,AL,5532,43660,No,3.4210719193770043
2013,AL,10436,65418,Yes,4.307254883976887
2009,AL,10793,60520,Yes,4.815118968935889
1958,AL,5159,33072,No,4.2118105950653115
1965,AL,6388,43618,No,3.9542390756109858
2023,AL,11110,64733,Yes,4.633957950349899
1980,NL,7852,52589,No,4.031337351917701
1953,NL,5914,32915,No,4.851222846726417
2020,NL,4185,23068,Yes,4.898344026356858
2008,NL,11976,69406,No,4.658847938218598
1972,AL,6441,49961,No,3.4808550669522225
2018,NL,10555,65485,No,4.3519126517523095
1956,NL,5275,33190,No,4.291202169328111
1946,NL,4918,33254,No,3.9930835388223973
1952,NL,5158,33083,No,4.209594051325454
1993,NL,10190,60854,No,4.521148979524764
1956,AL,5756,33095,No,4.695935941985194
1977,AL,10247,60672,Yes,4.560077136075949
2001,NL,12186,69223,No,4.753073400459385
2015,NL,10225,65140,No,4.238179306109917
1989,AL,9732,60543,Yes,4.340121896833655
1950,NL,5760,33029,No,4.7085894214175426
1970,NL,8771,52235,No,4.533684311285537
1946,AL,5037,33186,No,4.0980835291990605
1959,NL,5462,33142,No,4.449761631766339
1948,AL,5838,32929,No,4.7868444228491605
1995,AL,10225,53928,Yes,5.1193257676902535
2011,NL,10772,69732,No,4.1708828084667005
1976,AL,7753,52405,Yes,3.994485259040168
2009,NL,11626,69296,No,4.529871854075272
1974,NL,8070,52481,No,4.151788266229683
2005,NL,11709,69157,No,4.571381060485562
1964,AL,6607,43845,No,4.0686281217926785
1985,NL,7899,52424,No,4.068232107431711
1963,NL,6181,43661,No,3.8223357229564145
1963,AL,6599,43655,No,4.0813881571412205
1998,NL,11943,69720,No,4.625086058519793
2005,AL,10616,60540,Yes,4.734588701684837
2019,AL,12018,65072,Yes,4.986568723875092
2006,AL,11041,60363,Yes,4.938571641568511
1962,NL,7278,43470,No,4.520496894409938
1984,AL,10027,60840,Yes,4.4498520710059175
1999,NL,12838,69404,No,4.994323093769812
1994,AL,8330,42689,Yes,5.268570357703389
2021,NL,10869,63797,No,4.599949840901609
1947,NL,5669,32902,No,4.652088018965412
1954,AL,5203,33315,No,4.216749212066636
1991,NL,7955,52163,No,4.1175737591779615
1960,NL,5250,33361,No,4.248973352117742
2019,NL,11449,65198,No,4.74129574526826
1990,AL,9746,60547,Yes,4.3460782532578
1960,AL,5414,33249,No,4.396463051520347
1978,NL,7742,52000,No,4.0198846153846155
2018,AL,11075,64982,Yes,4.60165892093195
2016,NL,10888,65086,No,4.516731708816028
1968,NL,5577,44043,No,3.418908793678905
1995,NL,9329,54168,No,4.650033229951263
1951,AL,5716,33163,No,4.653740614540301
1983,AL,10177,60843,Yes,4.516197426162418
1953,AL,5512,33181,No,4.48521744371779
1972,NL,7265,50390,No,3.8927366540980355
1950,AL,6253,32889,No,5.133357657575481
1957,AL,5210,33380,No,4.214200119832235
2022,NL,10602,64550,Yes,4.434608830364058
1978,AL,9509,60490,Yes,4.244387502066457
1990,NL,8173,52144,No,4.231953820190242
2011,AL,10036,60850,Yes,4.453114215283484
1980,AL,10201,60995,Yes,4.5155668497417825
1988,NL,7522,52442,No,3.8727355936081764
1947,AL,5161,33228,No,4.193661971830986
1983,NL,7993,52383,No,4.11986713246664
1971,AL,7472,51874,No,3.889115934765007
2002,AL,10862,60492,Yes,4.848145209283873
1999,AL,11853,60230,Yes,5.313481653660967
1989,NL,7673,52602,No,3.938462415877723
1971,NL,7601,52427,No,3.91452877334198
1955,AL,5491,33080,No,4.48177146311971
2014,AL,10052,65396,Yes,4.1501620894244295
1985,AL,10317,60552,Yes,4.600326991676575
1992,AL,9802,60987,Yes,4.339514978601997
1957,NL,5426,33653,No,4.353311740409474
1961,AL,7342,43280,No,4.580268022181146
1973,NL,8062,52446,No,4.15044045303741
1986,NL,8096,52413,No,4.170568370442448
2014,NL,9709,65445,No,4.005546642218657
1982,AL,10163,61005,Yes,4.498008359970494
1984,NL,7894,52274,No,4.077323334736198
1998,AL,11354,60584,Yes,5.060048857784234
1997,AL,11177,60595,Yes,4.980262397887614
1954,NL,5624,33065,No,4.592408891577197
1994,NL,7422,43070,No,4.652751335035988
1987,AL,11112,60587,Yes,4.9519533893409475
1955,NL,5578,32953,No,4.570327436045277
1948,NL,5474,32867,No,4.496850944716585
2008,AL,10609,60667,Yes,4.721561969439729
2013,NL,9819,65542,No,4.044933020048213
1949,AL,5776,32823,No,4.7513024403619415
1952,AL,5191,33535,No,4.179424481884598
1987,NL,8771,52137,No,4.5422061108234075
1981,NL,5035,34906,No,3.8946026471093793
1986,AL,10449,60610,Yes,4.654726942748721
1991,AL,10172,61146,Yes,4.491610244333235
2007,AL,10934,60535,Yes,4.876815065664492
1949,NL,5646,33293,No,4.5788003484215904
1974,AL,7976,52346,Yes,4.11401062163298
1959,AL,5391,33159,No,4.389667963448837
1961,NL,5600,33080,No,4.570737605804111
1951,NL,5552,33462,No,4.479827864443249
1993,AL,10674,60667,Yes,4.7504903819209785
1992,NL,7539,52502,No,3.8770523027694184
2002,NL,11546,69315,No,4.497468080502056
1962,AL,7183,43545,No,4.453806407165001
2012,AL,9980,60855,Yes,4.427902390929258
1964,NL,6517,43570,No,4.038535689694744
1967,NL,6218,43748,No,3.8375697174727987
1979,AL,10527,60155,Yes,4.724943894938076
2003,AL,11061,60675,Yes,4.922076637824475
2010,NL,11281,69265,No,4.397415722226232
2010,AL,10027,60651,Yes,4.463718652619083
1966,AL,6276,43478,No,3.897419384516307
1996,NL,10623,60867,No,4.7122578737246785
1969,AL,7960,52510,No,4.092934679108741
2000,NL,13021,69310,No,5.072384937238494
1982,NL,7947,52630,No,4.07693330799924
1966,NL,6624,43654,No,4.096944151738673
1997,NL,10427,60767,No,4.632925765629372
2016,AL,10856,64833,Yes,4.52103095645736
2012,NL,11037,69211,No,4.305659504991981
1969,NL,7890,52162,No,4.08400751504927
1973,AL,8314,52190,Yes,4.301168806284728
2007,NL,12388,69742,No,4.795904906655961
1967,AL,5992,43805,No,3.6932770231708707
2015,AL,10422,65083,Yes,4.323617534532827
1970,AL,8109,52341,No,4.1830114059723735
1981,AL,6112,40379,Yes,4.0868768419227814
2000,AL,11950,60423,Yes,5.339854029094881
1975,AL,8281,51821,Yes,4.31460218830204
1977,NL,8556,52545,No,4.39646017699115
2001,AL,11013,60639,Yes,4.903626379062979
1976,NL,7739,52372,No,3.989784617734667
2003,NL,11917,69331,No,4.6409109921968525
1958,NL,5419,33077,No,4.423405992079088
1965,NL,6558,43929,No,4.030731407498464
2021,AL,11141,64048,Yes,4.6965869347989
1988,AL,9858,60561,Yes,4.395006687472136
2004,NL,12060,69438,No,4.689363172902445
