yearID,lgID,Total_Hits,Total_Doubles,Total_Triples,Total_Home_Runs,Total_At_Bats,DH_Rule,Slugging_Percentage
1964,NL,14032,2161,427,1211,55284,No,0.3740684465668186
1950,NL,11085,1885,370,1100,42416,No,0.401027913994719
2006,AL,21572,4301,391,2546,78497,Yes,0.43687019886110295
2003,AL,20931,4170,443,2499,78311,Yes,0.4275772241447562
1955,AL,10802,1574,338,961,41817,No,0.381065117057656
1955,NL,10808,1677,362,1263,41773,No,0.4069135566035477
1987,NL,17275,3126,435,1824,66276,No,0.4035095660570946
2012,AL,19780,3808,369,2500,77437,Yes,0.41099216136988775
1978,AL,19952,3325,538,1680,76411,Yes,0.38466974650246694
1977,NL,17465,3033,526,1631,66700,No,0.39644677661169414
1947,AL,10739,1708,412,679,42002,No,0.36445883529355744
1979,AL,20682,3529,548,2006,76704,Yes,0.4083880892782645
2006,NL,23501,4834,561,2840,88844,No,0.427457115843501
1990,NL,16917,2967,405,1521,65968,No,0.38286745088527774
1968,AL,12359,1874,338,1104,53709,No,0.3392541287307528
2021,NL,19522,3907,354,2885,80604,No,0.4068284452384497
2004,AL,21251,4232,404,2605,78731,Yes,0.4331965807623427
1957,AL,10703,1663,307,1024,41987,No,0.3823088098697216
2015,AL,21159,4166,459,2634,82836,Yes,0.41220000965763676
2018,AL,20615,4271,390,2900,82710,Yes,0.41549993954781766
1992,NL,16538,2967,459,1262,65748,No,0.36820891890247615
1995,NL,18184,3367,418,1917,69049,No,0.40750771191472723
1949,AL,10961,1737,391,769,41669,No,0.37886678346012626
1990,AL,19900,3559,460,1796,76800,Yes,0.3875911458333333
1958,NL,11026,1769,365,1183,42143,No,0.40514438934105307
1954,AL,10766,1639,386,823,41909,No,0.37333269703405
1994,NL,14695,2784,377,1532,55068,No,0.41456018014091667
1981,NL,11141,1881,354,719,43654,No,0.3639299949603702
2022,NL,19836,3984,348,2658,81649,Yes,0.3979228159561048
1963,NL,13434,1984,439,1215,54803,No,0.3638669415907888
1994,AL,15048,2939,325,1774,55198,Yes,0.4340555817239755
2008,NL,23071,4729,478,2608,88595,No,0.4128901179524804
1964,AL,13637,2109,333,1551,55180,No,0.38175063428778544
2010,NL,22423,4470,498,2404,87886,No,0.3993923946931252
1959,AL,10621,1690,267,1091,41964,No,0.3840911257268135
1980,NL,17186,2856,523,1243,66272,No,0.37447187349106714
1970,NL,17151,2743,554,1683,66465,No,0.3919506507184232
1999,AL,21447,4121,419,2635,78126,Yes,0.4391751785577145
1948,NL,11022,1840,384,845,42256,No,0.3825492237788716
1986,NL,16643,2991,387,1523,65730,No,0.37999391449870684
1975,NL,17002,2781,458,1233,66102,No,0.36909624519681705
1973,NL,16817,2600,386,1550,66087,No,0.37585304220194593
1991,NL,16363,2819,441,1430,65365,No,0.37258471659144804
2019,AL,21154,4318,385,3478,83557,Yes,0.43893390140861926
1957,NL,11162,1733,365,1178,42919,No,0.3997996225447937
1982,AL,20566,3493,519,2080,77886,Yes,0.4023444521480112
1958,AL,10595,1623,290,1057,41684,No,0.3830966318011707
1989,AL,20078,3404,457,1718,77004,Yes,0.383746298893564
1983,NL,16781,2753,484,1398,65717,No,0.37579317376021426
2012,NL,22283,4453,558,2434,87814,No,0.40032341084565104
2023,AL,20314,4130,342,2925,82324,Yes,0.411824012438657
1997,NL,20300,3907,485,2163,77203,No,0.4101654080799969
1954,NL,11142,1816,403,1114,42027,No,0.40702405596402313
1970,AL,16404,2492,373,1746,65675,No,0.3788351732013704
1974,NL,16907,2642,447,1280,66212,No,0.3667462091463783
2009,AL,20783,4131,388,2560,77965,Yes,0.4280125697428333
1966,NL,14202,2099,412,1378,55385,No,0.3838403899972917
1956,AL,10937,1680,353,1075,42007,No,0.39393434427595403
1985,AL,20182,3562,528,2178,77257,Yes,0.4055813712673285
1966,AL,13005,2021,408,1365,54082,No,0.36864391109796235
1981,AL,13016,2119,305,1062,50813,Yes,0.37256213960994233
2002,AL,20519,4218,433,2464,77788,Yes,0.42416568108191494
2018,NL,20403,3993,457,2685,82722,No,0.403338894127318
1962,AL,14068,2238,400,1552,55239,No,0.3939607885732906
1982,NL,17085,2823,445,1299,66263,No,0.37268158700934156
2020,AL,7194,1421,115,1143,29631,Yes,0.4142283419391853
2011,NL,22263,4394,487,2281,88119,No,0.39122096256199
1997,AL,21171,4097,398,2477,78235,Yes,0.42813318847063336
2007,NL,23796,4898,505,2705,89489,No,0.4226106001854977
1984,NL,16842,2770,451,1278,65919,No,0.36936239930824194
1967,AL,12766,1949,365,1197,54179,No,0.35135384558592814
1961,NL,11029,1749,350,1196,42128,No,0.4050987466767945
1998,AL,21276,4248,408,2499,78416,Yes,0.43150632523974697
1998,NL,23213,4493,491,2565,88700,No,0.41018038331454343
1949,NL,11207,1865,370,935,42711,No,0.38905668329001897
1996,NL,20398,3782,434,2220,77711,No,0.4080246039814183
1965,NL,13794,2122,422,1318,55377,No,0.3740542102316846
2023,NL,20525,4098,370,2943,82094,Yes,0.41649816064511413
2001,AL,20852,4200,440,2506,78134,Yes,0.42811068164947397
1951,AL,11103,1836,349,839,42361,No,0.3813413281084016
2000,NL,23594,4632,532,3005,88743,No,0.43163967862253927
1989,NL,16215,2903,411,1365,65817,No,0.36517920901894646
1969,NL,16461,2455,471,1470,65751,No,0.36908944350656264
1991,AL,20195,3680,453,1953,77603,Yes,0.39483009677460923
2016,AL,21299,4154,371,2953,82926,Yes,0.4227142271422714
1977,AL,20572,3408,644,2013,77275,Yes,0.4051374959560013
1971,NL,16590,2505,457,1379,65903,No,0.3663869626572387
2000,AL,21652,4269,420,2688,78547,Yes,0.4433651189733535
1995,AL,18791,3591,406,2164,69522,Yes,0.42700152469721814
1983,AL,20662,3710,549,1903,77821,Yes,0.4006502100975315
1976,NL,16778,2652,499,1113,65814,No,0.3611237730574042
1971,AL,15957,2426,351,1484,64641,No,0.36411874816293066
1952,NL,10582,1672,338,907,41878,No,0.3737284493051244
1950,AL,11474,1829,423,973,42407,No,0.4024807225222251
2014,AL,21033,4132,390,2161,83123,Yes,0.39012066455734273
1969,AL,16120,2385,378,1649,65536,No,0.369384765625
1985,NL,16596,2861,437,1424,65818,No,0.37380351879425083
2022,AL,19839,3956,295,2557,81816,Yes,0.39180600371565466
2005,AL,20933,4109,420,2437,78215,Yes,0.42438151249760275
1973,AL,17193,2624,404,1552,66276,Yes,0.381450298750679
1993,AL,20661,3861,427,2074,77506,Yes,0.4076845663561531
2011,AL,20004,4005,411,2271,77586,Yes,0.4078570876189003
2007,AL,21181,4299,433,2252,78294,Yes,0.4227910184688482
2003,NL,23126,4657,491,2708,88426,No,0.4171736819487481
1946,NL,10762,1752,382,562,42094,No,0.355490093600038
1961,AL,14037,2226,404,1534,54904,No,0.3947435523823401
1963,AL,13609,2114,352,1489,55011,No,0.37981494610168876
1952,AL,10690,1716,339,794,42317,No,0.36547959448921236
1968,NL,13351,1995,359,891,54913,No,0.34121246335111904
1956,NL,10716,1659,372,1219,41849,No,0.40086979378240817
1987,AL,20620,3667,461,2634,77819,Yes,0.42548734884796774
1951,NL,11088,1746,367,1024,42704,No,0.38965904833270887
1988,NL,16277,2828,415,1279,65563,No,0.3625825541845248
1972,AL,14751,2260,316,1175,61712,No,0.3430127041742287
2008,AL,20901,4285,408,2270,78119,Yes,0.4200258579858933
2014,NL,20562,4005,459,2025,82491,No,0.38258719132996327
1965,AL,13158,2077,365,1370,54362,No,0.36928369081343587
1976,AL,16820,2588,467,1122,65711,Yes,0.3607919526411103
2021,AL,19962,3956,317,3059,81337,Yes,0.41468212498616863
2013,NL,20768,4039,424,2157,82690,No,0.38851130729229655
2010,AL,20131,4016,368,2209,77467,Yes,0.40675384357210165
1947,NL,11264,1860,392,886,42434,No,0.3903944949804402
1975,AL,16861,2662,429,1465,65371,Yes,0.37900598124550644
1960,NL,10745,1722,384,1042,42176,No,0.38792204097116845
2009,NL,22741,4606,561,2482,87884,No,0.40866369304992944
1960,AL,10689,1720,274,1086,41838,No,0.38756632726229745
1984,AL,20539,3443,534,1980,77910,Yes,0.39776665383134385
1974,AL,17062,2564,400,1369,66044,Yes,0.3714644782266368
1993,NL,20427,3588,513,1956,77489,No,0.3988824220211901
1978,NL,16556,2861,482,1276,65156,No,0.3715544232304009
2020,NL,7245,1402,126,1161,29399,Yes,0.42117078812204495
1996,AL,21922,4205,421,2742,79090,Yes,0.4449993678088254
1953,NL,11342,1777,414,1197,42639,No,0.4113135861535214
1972,NL,15683,2392,430,1359,63116,No,0.3645985170162875
2005,NL,23058,4754,468,2580,88120,No,0.41407172038129825
2002,NL,22753,4482,488,2595,87794,No,0.41000523953800944
2004,NL,23271,4687,494,2846,88622,No,0.42296495226918823
2015,NL,20947,4076,480,2275,82652,No,0.39694139282775975
1959,NL,11015,1788,324,1159,42330,No,0.3999055043704229
1953,AL,11117,1816,331,879,42358,No,0.3832097832758865
1980,AL,20958,3489,553,1844,77888,Yes,0.3990987058340181
1986,AL,20237,3520,468,2290,77376,Yes,0.4079171836228288
2001,NL,23027,4613,488,2952,88100,No,0.42533484676503974
1999,NL,23880,4619,512,2893,89011,No,0.42918290997741854
2017,AL,21230,4194,334,3170,83034,Yes,0.4287641207216321
2017,NL,20985,4203,461,2935,82533,No,0.423042904050501
1979,NL,17229,2886,518,1427,66088,No,0.3848202396804261
1962,NL,14453,2075,453,1449,55449,No,0.39281141228876987
1946,AL,10793,1827,401,653,42239,No,0.36414214351665525
2019,NL,20885,4213,400,3298,83094,No,0.43074108840590175
1948,AL,11212,1846,450,710,42155,No,0.3816391887083383
1967,NL,13698,2133,427,1102,55026,No,0.36330098498891433
1988,AL,19967,3558,425,1901,77005,Yes,0.39059801311603143
1992,AL,20006,3596,386,1776,77147,Yes,0.3850052497180707
2013,AL,21325,4183,348,2504,83380,Yes,0.4043655552890381
2016,NL,20977,4100,502,2657,82635,No,0.41207720699461486
