yearID,lgID,Total_Hits,Total_Doubles,Total_Triples,Total_Home_Runs,Total_At_Bats,DH_Rule
1946,NL,0.355490093600038,1752,382,562,42094,No
1977,AL,0.4051374959560013,3408,644,2013,77275,Yes
1952,AL,0.36547959448921236,1716,339,794,42317,No
1962,NL,0.39281141228876987,2075,453,1449,55449,No
1956,AL,0.39393434427595403,1680,353,1075,42007,No
1952,NL,0.3737284493051244,1672,338,907,41878,No
2018,NL,0.403338894127318,3993,457,2685,82722,No
1948,NL,0.3825492237788716,1840,384,845,42256,No
2019,AL,0.43893390140861926,4318,385,3478,83557,Yes
1996,NL,0.4080246039814183,3782,434,2220,77711,No
1988,AL,0.39059801311603143,3558,425,1901,77005,Yes
2002,NL,0.41000523953800944,4482,488,2595,87794,No
1954,NL,0.40702405596402313,1816,403,1114,42027,No
2021,NL,0.4068284452384497,3907,354,2885,80604,No
1973,NL,0.37585304220194593,2600,386,1550,66087,No
1959,NL,0.3999055043704229,1788,324,1159,42330,No
1963,AL,0.37981494610168876,2114,352,1489,55011,No
2011,NL,0.39122096256199,4394,487,2281,88119,No
1972,AL,0.3430127041742287,2260,316,1175,61712,No
2005,NL,0.41407172038129825,4754,468,2580,88120,No
2000,AL,0.4433651189733535,4269,420,2688,78547,Yes
2001,AL,0.42811068164947397,4200,440,2506,78134,Yes
2020,NL,0.42117078812204495,1402,126,1161,29399,Yes
1957,NL,0.3997996225447937,1733,365,1178,42919,No
1974,AL,0.3714644782266368,2564,400,1369,66044,Yes
2015,NL,0.39694139282775975,4076,480,2275,82652,No
1962,AL,0.3939607885732906,2238,400,1552,55239,No
2014,NL,0.38258719132996327,4005,459,2025,82491,No
1950,NL,0.401027913994719,1885,370,1100,42416,No
1968,NL,0.34121246335111904,1995,359,891,54913,No
2010,AL,0.40675384357210165,4016,368,2209,77467,Yes
1961,AL,0.3947435523823401,2226,404,1534,54904,No
1970,NL,0.3919506507184232,2743,554,1683,66465,No
2004,AL,0.4331965807623427,4232,404,2605,78731,Yes
2007,AL,0.4227910184688482,4299,433,2252,78294,Yes
1975,AL,0.37900598124550644,2662,429,1465,65371,Yes
2013,NL,0.38851130729229655,4039,424,2157,82690,No
2012,AL,0.41099216136988775,3808,369,2500,77437,Yes
1993,AL,0.4076845663561531,3861,427,2074,77506,Yes
2007,NL,0.4226106001854977,4898,505,2705,89489,No
1978,NL,0.3715544232304009,2861,482,1276,65156,No
1997,AL,0.42813318847063336,4097,398,2477,78235,Yes
1953,AL,0.3832097832758865,1816,331,879,42358,No
2023,NL,0.41649816064511413,4098,370,2943,82094,Yes
1976,AL,0.3607919526411103,2588,467,1122,65711,Yes
1967,AL,0.35135384558592814,1949,365,1197,54179,No
2016,AL,0.4227142271422714,4154,371,2953,82926,Yes
1967,NL,0.36330098498891433,2133,427,1102,55026,No
1997,NL,0.4101654080799969,3907,485,2163,77203,No
2006,AL,0.43687019886110295,4301,391,2546,78497,Yes
2022,NL,0.3979228159561048,3984,348,2658,81649,Yes
1996,AL,0.4449993678088254,4205,421,2742,79090,Yes
2011,AL,0.4078570876189003,4005,411,2271,77586,Yes
1965,NL,0.3740542102316846,2122,422,1318,55377,No
1982,NL,0.37268158700934156,2823,445,1299,66263,No
1968,AL,0.3392541287307528,1874,338,1104,53709,No
1948,AL,0.3816391887083383,1846,450,710,42155,No
1966,AL,0.36864391109796235,2021,408,1365,54082,No
1981,AL,0.37256213960994233,2119,305,1062,50813,Yes
1994,AL,0.4340555817239755,2939,325,1774,55198,Yes
2023,AL,0.411824012438657,4130,342,2925,82324,Yes
1958,NL,0.40514438934105307,1769,365,1183,42143,No
1986,AL,0.4079171836228288,3520,468,2290,77376,Yes
1984,AL,0.39776665383134385,3443,534,1980,77910,Yes
1949,NL,0.38905668329001897,1865,370,935,42711,No
1953,NL,0.4113135861535214,1777,414,1197,42639,No
1956,NL,0.40086979378240817,1659,372,1219,41849,No
1957,AL,0.3823088098697216,1663,307,1024,41987,No
1978,AL,0.38466974650246694,3325,538,1680,76411,Yes
1947,AL,0.36445883529355744,1708,412,679,42002,No
1982,AL,0.4023444521480112,3493,519,2080,77886,Yes
2008,NL,0.4128901179524804,4729,478,2608,88595,No
1971,NL,0.3663869626572387,2505,457,1379,65903,No
1987,NL,0.4035095660570946,3126,435,1824,66276,No
1960,AL,0.38756632726229745,1720,274,1086,41838,No
2017,NL,0.423042904050501,4203,461,2935,82533,No
1990,AL,0.3875911458333333,3559,460,1796,76800,Yes
2017,AL,0.4287641207216321,4194,334,3170,83034,Yes
1984,NL,0.36936239930824194,2770,451,1278,65919,No
2004,NL,0.42296495226918823,4687,494,2846,88622,No
2021,AL,0.41468212498616863,3956,317,3059,81337,Yes
1970,AL,0.3788351732013704,2492,373,1746,65675,No
1972,NL,0.3645985170162875,2392,430,1359,63116,No
1989,AL,0.383746298893564,3404,457,1718,77004,Yes
2009,AL,0.4280125697428333,4131,388,2560,77965,Yes
1994,NL,0.41456018014091667,2784,377,1532,55068,No
1974,NL,0.3667462091463783,2642,447,1280,66212,No
2001,NL,0.42533484676503974,4613,488,2952,88100,No
2002,AL,0.42416568108191494,4218,433,2464,77788,Yes
1960,NL,0.38792204097116845,1722,384,1042,42176,No
2010,NL,0.3993923946931252,4470,498,2404,87886,No
1947,NL,0.3903944949804402,1860,392,886,42434,No
2005,AL,0.42438151249760275,4109,420,2437,78215,Yes
1979,NL,0.3848202396804261,2886,518,1427,66088,No
1999,NL,0.42918290997741854,4619,512,2893,89011,No
2003,AL,0.4275772241447562,4170,443,2499,78311,Yes
1955,NL,0.4069135566035477,1677,362,1263,41773,No
1954,AL,0.37333269703405,1639,386,823,41909,No
1989,NL,0.36517920901894646,2903,411,1365,65817,No
1995,NL,0.40750771191472723,3367,418,1917,69049,No
1998,AL,0.43150632523974697,4248,408,2499,78416,Yes
2000,NL,0.43163967862253927,4632,532,3005,88743,No
1951,NL,0.38965904833270887,1746,367,1024,42704,No
1991,NL,0.37258471659144804,2819,441,1430,65365,No
1992,AL,0.3850052497180707,3596,386,1776,77147,Yes
1983,NL,0.37579317376021426,2753,484,1398,65717,No
1998,NL,0.41018038331454343,4493,491,2565,88700,No
1965,AL,0.36928369081343587,2077,365,1370,54362,No
1963,NL,0.3638669415907888,1984,439,1215,54803,No
1951,AL,0.3813413281084016,1836,349,839,42361,No
1999,AL,0.4391751785577145,4121,419,2635,78126,Yes
1988,NL,0.3625825541845248,2828,415,1279,65563,No
2006,NL,0.427457115843501,4834,561,2840,88844,No
1991,AL,0.39483009677460923,3680,453,1953,77603,Yes
1964,AL,0.38175063428778544,2109,333,1551,55180,No
1980,NL,0.37447187349106714,2856,523,1243,66272,No
1993,NL,0.3988824220211901,3588,513,1956,77489,No
1985,NL,0.37380351879425083,2861,437,1424,65818,No
1959,AL,0.3840911257268135,1690,267,1091,41964,No
2019,NL,0.43074108840590175,4213,400,3298,83094,No
1983,AL,0.4006502100975315,3710,549,1903,77821,Yes
1979,AL,0.4083880892782645,3529,548,2006,76704,Yes
1969,NL,0.36908944350656264,2455,471,1470,65751,No
1949,AL,0.37886678346012626,1737,391,769,41669,No
1986,NL,0.37999391449870684,2991,387,1523,65730,No
1946,AL,0.36414214351665525,1827,401,653,42239,No
2014,AL,0.39012066455734273,4132,390,2161,83123,Yes
2015,AL,0.41220000965763676,4166,459,2634,82836,Yes
2003,NL,0.4171736819487481,4657,491,2708,88426,No
1987,AL,0.42548734884796774,3667,461,2634,77819,Yes
2012,NL,0.40032341084565104,4453,558,2434,87814,No
1992,NL,0.36820891890247615,2967,459,1262,65748,No
1955,AL,0.381065117057656,1574,338,961,41817,No
1964,NL,0.3740684465668186,2161,427,1211,55284,No
1971,AL,0.36411874816293066,2426,351,1484,64641,No
2020,AL,0.4142283419391853,1421,115,1143,29631,Yes
1958,AL,0.3830966318011707,1623,290,1057,41684,No
1969,AL,0.369384765625,2385,378,1649,65536,No
1990,NL,0.38286745088527774,2967,405,1521,65968,No
1981,NL,0.3639299949603702,1881,354,719,43654,No
1961,NL,0.4050987466767945,1749,350,1196,42128,No
1950,AL,0.4024807225222251,1829,423,973,42407,No
1980,AL,0.3990987058340181,3489,553,1844,77888,Yes
1973,AL,0.381450298750679,2624,404,1552,66276,Yes
1985,AL,0.4055813712673285,3562,528,2178,77257,Yes
2008,AL,0.4200258579858933,4285,408,2270,78119,Yes
2018,AL,0.41549993954781766,4271,390,2900,82710,Yes
2013,AL,0.4043655552890381,4183,348,2504,83380,Yes
1977,NL,0.39644677661169414,3033,526,1631,66700,No
2009,NL,0.40866369304992944,4606,561,2482,87884,No
2022,AL,0.39180600371565466,3956,295,2557,81816,Yes
1966,NL,0.3838403899972917,2099,412,1378,55385,No
1976,NL,0.3611237730574042,2652,499,1113,65814,No
2016,NL,0.41207720699461486,4100,502,2657,82635,No
1995,AL,0.42700152469721814,3591,406,2164,69522,Yes
1975,NL,0.36909624519681705,2781,458,1233,66102,No
