Question_Type,Mean Recoded Value
F2.7_Recoded,4.140625
F6.1_Recoded,4.250950570342205
F5.5_Recoded,1.7832699619771863
F3.5_Recoded,2.6363636363636362
F6_Recoded,2.321969696969697
F2.3_Recoded,4.121212121212121
F3_Recoded,3.6083650190114067
F5.2_Recoded,2.129277566539924
F4.4_Recoded,4.231060606060606
F4_Recoded,4.193181818181818
F1.7_Recoded,3.741444866920152
F2.10_Recoded,4.140151515151516
F5.4_Recoded,3.5399239543726235
F2.11_Recoded,4.174242424242424
F3.2_Recoded,3.397727272727273
F1.2_Recoded,4.492424242424242
F6.2_Recoded,4.488636363636363
F2_Recoded,4.480916030534351
F2.6_Recoded,4.617424242424242
F2.4_Recoded,4.404580152671755
F2.5_Recoded,4.636363636363637
F2.9_Recoded,4.412878787878788
F5.7_Recoded,4.406844106463878
F3.3_Recoded,3.5416666666666665
F4.2_Recoded,4.117424242424242
F3.1_Recoded,3.425855513307985
F1_Recoded,4.321969696969697
F2.8_Recoded,4.387832699619772
F2.2_Recoded,4.393939393939394
F5.1_Recoded,3.772727272727273
F1.3_Recoded,4.46969696969697
F4.1_Recoded,2.9166666666666665
F1.1_Recoded,4.40530303030303
F5.6_Recoded,2.234848484848485
F5.3_Recoded,3.753787878787879
F6.4_Recoded,3.3307984790874525
F1.4_Recoded,3.6666666666666665
F5_Recoded,2.685823754789272
F6.3_Recoded,2.2234848484848486
F1.6_Recoded,4.515151515151516
F3.4_Recoded,3.4356060606060606
F1.5_Recoded,4.186311787072244
F2.1_Recoded,4.513307984790875
F4.3_Recoded,2.893939393939394
