playerID,yearID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,awardID,set
lintz01,2020,AL,C,1,0,2,0,0,0,0,false,train
petityu01,2015,NL,P,42,1,228,5,9,0,0,false,train
gregelu01,2017,AL,P,65,0,183,5,12,0,1,false,train
youngja03,2023,NL,OF,32,32,849,81,2,1,1,false,test
garcile02,2018,AL,OF,68,55,1492,117,5,4,2,false,train
swihabl01,2018,AL,OF,21,11,376,20,0,0,0,false,train
moorema02,2016,AL,P,21,21,390,7,15,1,2,false,train
hendrli01,2014,AL,P,9,6,98,3,0,0,0,false,train
goforda01,2017,NL,P,1,0,3,0,0,0,0,false,train
storytr01,2023,AL,2B,1,0,0,0,0,0,0,false,test
perezsa02,2023,AL,C,91,90,2215,655,25,1,2,false,test
jimenub01,2015,AL,P,32,32,552,7,15,1,1,false,train
feldmsc01,2013,NL,P,15,15,273,6,20,3,1,false,train
marshev01,2015,NL,P,13,0,40,1,1,0,0,false,train
linceti01,2014,NL,P,33,26,467,11,12,1,1,false,train
cruzon01,2022,NL,OF,1,0,3,0,0,0,0,false,train
perezhe02,2023,AL,P,1,0,1,0,0,0,0,false,test
pindech01,2021,AL,3B,6,4,103,3,12,1,0,false,train
peacoma01,2022,NL,P,2,0,8,0,1,0,0,false,train
northaa01,2021,NL,P,5,0,24,1,2,0,0,false,train
castilu02,2017,NL,P,15,15,268,8,18,0,0,false,train
barnhtu01,2022,AL,C,92,90,2334,653,29,3,3,false,train
drurybr01,2017,NL,3B,1,1,21,1,3,1,0,false,train
saltaja01,2016,AL,1B,11,6,192,53,3,2,4,false,train
diazda01,2017,AL,P,10,1,39,1,2,0,0,false,train
overtdi01,2017,NL,P,1,1,14,0,0,0,0,false,train
sogarer01,2021,NL,3B,10,3,108,1,10,1,0,false,train
reyesge01,2023,AL,P,8,0,29,0,1,0,0,false,test
wallabr01,2013,AL,1B,61,57,1463,452,40,4,53,false,train
barneto01,2017,AL,P,50,0,172,6,3,0,0,false,train
cabreas01,2019,NL,3B,5,1,57,0,1,0,0,false,train
almoral01,2020,NL,OF,28,6,278,30,0,0,0,false,train
buterdr01,2013,NL,1B,2,1,33,15,0,0,1,false,train
snidetr01,2014,NL,OF,96,70,1838,108,8,1,2,false,train
kerrra01,2022,NL,P,7,0,15,0,1,0,0,false,train
underdu01,2020,NL,P,17,0,62,3,1,0,1,false,train
romakja01,2015,NL,1B,1,0,9,3,0,1,0,false,train
frazito01,2020,NL,3B,14,12,315,9,29,1,3,false,train
canhama01,2020,AL,OF,37,37,952,84,1,1,0,false,train
kangju01,2019,NL,SS,15,10,245,16,24,2,4,false,train
poredaa01,2014,AL,P,26,0,64,0,1,0,0,false,train
perdolu02,2022,NL,P,14,0,71,2,3,1,0,false,train
stewadj01,2019,AL,OF,35,33,827,50,3,2,1,false,train
greensh02,2018,AL,P,66,0,190,4,3,1,0,false,train
roech01,2020,AL,P,10,0,28,0,0,0,0,false,train
crawfbr01,2016,NL,SS,155,148,3927,209,413,11,90,true,train
morrobr01,2014,AL,P,13,6,100,3,3,0,0,false,train
schoojo01,2023,AL,P,1,0,4,0,0,0,0,false,test
perazjo01,2017,NL,OF,2,2,48,3,0,0,0,false,train
buchaja01,2014,AL,P,17,2,106,2,6,1,1,false,train
minayju01,2022,AL,P,6,0,29,1,0,0,0,false,train
webbty01,2021,NL,P,22,0,49,1,0,0,0,false,train
mengdda01,2019,AL,P,13,9,179,2,4,0,0,false,train
cordeji01,2018,NL,P,22,0,57,1,1,1,0,false,train
linceti01,2013,NL,P,32,32,593,11,17,4,0,false,train
pireljo01,2019,NL,OF,6,4,110,5,0,0,0,false,train
burgeja01,2022,AL,2B,3,0,15,1,1,0,1,false,train
murphdo01,2014,AL,3B,5,1,48,3,2,0,0,false,train
davista01,2017,NL,3B,2,1,42,0,2,0,0,false,train
pireljo01,2016,NL,2B,12,9,233,10,16,1,4,false,train
kleinph01,2016,NL,P,4,2,32,2,1,0,1,false,train
vogtst01,2019,NL,1B,1,0,12,5,0,0,0,false,train
dietrde01,2016,NL,1B,16,12,270,79,4,0,12,false,train
willilu01,2023,NL,OF,1,0,3,0,0,0,0,false,test
swansda01,2023,NL,SS,147,147,3838,187,382,11,72,true,test
perkigl01,2016,AL,P,2,0,6,0,0,0,0,false,train
wrighda03,2014,NL,3B,133,133,3570,83,231,15,21,false,train
murphda08,2016,NL,1B,21,17,455,134,16,1,14,false,train
telisto01,2015,NL,C,7,3,93,28,1,0,0,false,train
myerswi01,2014,AL,1B,2,0,12,1,0,0,0,false,train
stroppe01,2019,NL,P,50,0,125,4,1,1,0,false,train
adonjo01,2021,NL,P,1,1,16,0,0,0,0,false,train
rondojo01,2016,NL,P,2,0,11,1,0,0,1,false,train
smylydr01,2022,NL,P,22,22,319,2,9,0,0,false,train
blachty01,2023,NL,P,20,13,234,5,8,0,2,false,test
descada01,2018,NL,1B,11,5,170,63,2,2,9,false,train
tapiado01,2021,AL,P,34,0,101,0,2,0,0,false,train
hoernni01,2021,NL,OF,5,1,49,3,0,0,0,false,train
bushda01,2013,AL,P,1,0,9,0,0,0,0,false,train
carpema01,2014,NL,3B,156,155,4113,90,288,16,23,false,train
baumami01,2022,AL,P,13,4,103,2,4,1,1,false,train
rosalad01,2017,AL,2B,8,7,177,12,14,1,5,false,train
perazos02,2023,AL,SS,6,6,138,10,11,0,1,false,test
lopesch01,2022,AL,2B,2,1,33,0,4,0,2,false,train
locasti01,2022,AL,OF,26,10,321,22,1,0,0,false,train
frypa01,2020,AL,P,22,0,66,2,1,0,0,false,train
heywaja01,2017,NL,OF,124,116,3025,230,6,2,5,false,train
housetj01,2017,AL,P,2,0,6,0,0,0,0,false,train
fermijo01,2023,NL,2B,10,8,223,13,28,1,2,false,test
oflaher01,2016,NL,P,39,0,86,0,2,1,0,false,train
valaipa01,2018,NL,1B,15,11,273,63,9,1,12,false,train
eschja01,2017,NL,P,1,0,0,0,0,0,0,false,train
goinsry01,2015,AL,2B,66,62,1611,117,165,3,42,false,train
kiescro01,2014,NL,OF,8,7,193,11,0,1,0,false,train
romeren01,2018,NL,P,4,0,18,0,0,0,0,false,train
valaich01,2014,NL,3B,8,6,177,8,16,0,2,false,train
lopesch01,2022,AL,OF,2,1,27,1,0,0,0,false,train
rominan01,2017,AL,1B,22,4,195,56,4,0,3,false,train
mcgowky01,2020,NL,P,9,0,33,0,0,0,0,false,train
assadja01,2023,NL,P,32,10,328,8,14,1,1,false,test
trejoal01,2023,NL,P,2,0,6,0,0,0,0,false,test
kingesc01,2022,NL,2B,1,0,3,0,0,0,0,false,train
murphpa02,2022,NL,P,6,0,17,0,2,0,0,false,train
hergeji01,2019,NL,P,5,0,19,1,0,0,0,false,train
marshbr01,2013,AL,P,3,0,36,1,1,0,1,false,train
haltose01,2013,NL,3B,1,0,3,0,0,0,0,false,train
mauerjo01,2018,AL,C,1,0,0,0,0,0,0,false,train
sanchal04,2021,NL,C,2,1,27,7,0,0,0,false,train
reynoma03,2023,NL,1B,1,0,9,1,1,1,0,false,test
berrijo01,2022,AL,P,32,32,516,6,16,1,1,false,train
holtbr01,2015,AL,OF,35,30,761,67,1,0,0,false,train
narvaom01,2021,NL,C,111,100,2659,1005,52,6,2,false,train
beninan01,2021,AL,OF,129,129,3348,225,6,3,1,false,train
peterdi01,2018,NL,P,7,5,83,3,2,0,0,false,train
pattejo03,2016,NL,OF,6,1,48,4,0,0,0,false,train
reyespa01,2023,AL,1B,2,0,5,0,0,0,0,false,test
beltrca01,2017,AL,OF,14,12,276,11,0,0,0,false,train
lewisro02,2022,AL,OF,1,1,9,3,0,0,0,false,train
castrro01,2023,NL,SS,31,26,702,39,51,7,13,false,test
minteaj01,2018,NL,P,65,0,184,0,3,0,1,false,train
yelicch01,2015,NL,OF,124,122,3208,256,6,2,1,false,train
vanslsc01,2017,NL,1B,9,5,124,29,5,1,7,false,train
tayloch03,2019,NL,SS,39,30,843,37,65,9,12,false,train
kirkmmi01,2013,AL,P,25,0,66,0,0,0,0,false,train
wilsoju10,2016,AL,P,66,0,176,1,4,0,0,false,train
turneju01,2023,AL,1B,41,35,868,240,25,3,28,false,test
croneja01,2021,NL,P,1,0,2,0,0,0,0,false,train
melviti01,2017,NL,P,2,0,7,0,0,0,0,false,train
blachty01,2017,NL,P,34,24,491,21,21,2,2,false,train
grimmju01,2022,AL,P,15,0,46,1,3,0,0,false,train
burnsan01,2021,NL,2B,3,2,39,0,1,0,0,false,train
wrighst01,2019,AL,P,6,0,19,0,1,0,0,false,train
richacl01,2017,NL,P,32,32,592,7,36,0,3,false,train
duffyma01,2018,AL,SS,1,0,1,0,0,0,0,false,train
kurodhi01,2014,AL,P,32,32,597,18,16,1,0,false,train
leonsa01,2021,NL,P,6,0,18,0,1,0,0,false,train
smithpa04,2020,NL,OF,5,4,102,5,0,0,0,false,train
bellhe01,2014,AL,P,13,0,52,1,2,0,0,false,train
longoev01,2020,NL,3B,52,50,1280,41,84,2,9,false,train
chaveen01,2014,AL,OF,60,49,1357,79,1,0,0,false,train
pocheco01,2022,AL,P,65,0,176,0,2,0,0,false,train
